N,BLOCKSIZE,REPETICAO,RUNTIME
1024,64,1,0.089385
1024,64,2,0.083884
1024,64,3,0.082373
1024,64,4,0.080869
1024,64,5,0.081434
2048,64,1,0.083928
2048,64,2,0.086079
2048,64,3,0.087363
2048,64,4,0.086795
2048,64,5,0.085863
4096,64,1,0.087979
4096,64,2,0.089766
4096,64,3,0.088364
4096,64,4,0.090566
4096,64,5,0.089720
25000,64,1,0.101388
25000,64,2,0.102745
25000,64,3,0.105620
25000,64,4,0.102746
25000,64,5,0.104252
50000,64,1,0.148330
50000,64,2,0.151423
50000,64,3,0.152073
50000,64,4,0.151663
50000,64,5,0.151733
100000,64,1,0.308572
100000,64,2,0.312564
100000,64,3,0.307911
100000,64,4,0.310407
100000,64,5,0.312053
