N,BLOCKSIZE,REPETICAO,RUNTIME
1024,64,1,0.089385
1024,64,2,0.083884
1024,64,3,0.082373
1024,64,4,0.080869
1024,64,5,0.081434
2048,64,1,0.083928
2048,64,2,0.086079
2048,64,3,0.087363
2048,64,4,0.086795
2048,64,5,0.085863
4096,64,1,0.087979
4096,64,2,0.089766
4096,64,3,0.088364
4096,64,4,0.090566
4096,64,5,0.089720
25000,64,1,0.101388
25000,64,2,0.102745
25000,64,3,0.105620
25000,64,4,0.102746
25000,64,5,0.104252
50000,64,1,0.148330
50000,64,2,0.151423
50000,64,3,0.152073
50000,64,4,0.151663
50000,64,5,0.151733
100000,64,1,0.308572
100000,64,2,0.312564
100000,64,3,0.307911
100000,64,4,0.310407
100000,64,5,0.312053
1024,128,1,0.081982
1024,128,2,0.082849
1024,128,3,0.084353
1024,128,4,0.082815
1024,128,5,0.080659
2048,128,1,0.085953
2048,128,2,0.087198
2048,128,3,0.085014
2048,128,4,0.085909
2048,128,5,0.085109
4096,128,1,0.085949
4096,128,2,0.089637
4096,128,3,0.087430
4096,128,4,0.089270
4096,128,5,0.089609
25000,128,1,0.103438
25000,128,2,0.104897
25000,128,3,0.103972
25000,128,4,0.103888
25000,128,5,0.105073
50000,128,1,0.153303
50000,128,2,0.153796
50000,128,3,0.152512
50000,128,4,0.154091
50000,128,5,0.152880
100000,128,1,0.307464
100000,128,2,0.307902
100000,128,3,0.307192
100000,128,4,0.308881
100000,128,5,0.307099
1024,256,1,0.083285
1024,256,2,0.084592
1024,256,3,0.084568
1024,256,4,0.083280
1024,256,5,0.083728
2048,256,1,0.085615
2048,256,2,0.087722
2048,256,3,0.087896
2048,256,4,0.087428
2048,256,5,0.085231
4096,256,1,0.089608
4096,256,2,0.090980
4096,256,3,0.089621
4096,256,4,0.090382
4096,256,5,0.086648
25000,256,1,0.103687
25000,256,2,0.106918
25000,256,3,0.108924
25000,256,4,0.106600
25000,256,5,0.104785
50000,256,1,0.148568
50000,256,2,0.149600
50000,256,3,0.148978
50000,256,4,0.150494
50000,256,5,0.151174
100000,256,1,0.309763
100000,256,2,0.312965
100000,256,3,0.309147
100000,256,4,0.309303
100000,256,5,0.313180
