N,BLOCKSIZE,REPETICAO,RUNTIME
1024,256,1,0.153693
1024,256,2,0.149310
1024,256,3,0.154742
1024,256,4,0.151364
1024,256,5,0.151250
2048,256,1,0.156795
2048,256,2,0.149599
2048,256,3,0.152446
2048,256,4,0.156957
2048,256,5,0.154148
4096,256,1,0.155280
4096,256,2,0.159386
4096,256,3,0.156422
4096,256,4,0.154825
4096,256,5,0.162962
25000,256,1,0.173564
25000,256,2,0.177443
25000,256,3,0.175277
25000,256,4,0.171506
25000,256,5,0.175805
50000,256,1,0.220334
50000,256,2,0.221999
50000,256,3,0.226679
50000,256,4,0.218444
50000,256,5,0.219917
100000,256,1,0.404990
100000,256,2,0.402669
100000,256,3,0.403777
100000,256,4,0.406513
100000,256,5,0.409665
