N,BLOCKSIZE,REPETICAO,RUNTIME
1024,64,1,0.160833
1024,64,2,0.151762
1024,64,3,0.150826
1024,64,4,0.152145
1024,64,5,0.154274
2048,64,1,0.159669
2048,64,2,0.151978
2048,64,3,0.154870
2048,64,4,0.157377
2048,64,5,0.150944
4096,64,1,0.158073
4096,64,2,0.160192
4096,64,3,0.158502
4096,64,4,0.156418
4096,64,5,0.153560
25000,64,1,0.174538
25000,64,2,0.171707
25000,64,3,0.173183
25000,64,4,0.171987
25000,64,5,0.172158
50000,64,1,0.219091
50000,64,2,0.221504
50000,64,3,0.218904
50000,64,4,0.219021
50000,64,5,0.217425
100000,64,1,0.400381
100000,64,2,0.406533
100000,64,3,0.414803
100000,64,4,0.401102
100000,64,5,0.405395
1024,128,1,0.150026
1024,128,2,0.150185
1024,128,3,0.155074
1024,128,4,0.147825
1024,128,5,0.154326
2048,128,1,0.155746
2048,128,2,0.155266
2048,128,3,0.153349
2048,128,4,0.164743
2048,128,5,0.154408
4096,128,1,0.155110
4096,128,2,0.158346
4096,128,3,0.155209
4096,128,4,0.159290
4096,128,5,0.153718
25000,128,1,0.170007
25000,128,2,0.174286
25000,128,3,0.173821
25000,128,4,0.168852
25000,128,5,0.171737
50000,128,1,0.227581
50000,128,2,0.225552
50000,128,3,0.223148
50000,128,4,0.228913
50000,128,5,0.221241
100000,128,1,0.399324
100000,128,2,0.401583
100000,128,3,0.404489
100000,128,4,0.400370
100000,128,5,0.398774
1024,256,1,0.153693
1024,256,2,0.149310
1024,256,3,0.154742
1024,256,4,0.151364
1024,256,5,0.151250
2048,256,1,0.156795
2048,256,2,0.149599
2048,256,3,0.152446
2048,256,4,0.156957
2048,256,5,0.154148
4096,256,1,0.155280
4096,256,2,0.159386
4096,256,3,0.156422
4096,256,4,0.154825
4096,256,5,0.162962
25000,256,1,0.173564
25000,256,2,0.177443
25000,256,3,0.175277
25000,256,4,0.171506
25000,256,5,0.175805
50000,256,1,0.220334
50000,256,2,0.221999
50000,256,3,0.226679
50000,256,4,0.218444
50000,256,5,0.219917
100000,256,1,0.404990
100000,256,2,0.402669
100000,256,3,0.403777
100000,256,4,0.406513
100000,256,5,0.409665
